Dystans (m),WysokoϾ (m)
0,2392.025634765625
55.86132979066293,2349.877685546875
111.72265958132586,2306.48681640625
167.5839893719888,2272.05078125
223.4453191626517,2250.369140625
279.30664895331466,2237.127685546875
335.1679787439776,2218.77734375
391.0293085346405,2194.580810546875
446.8906383253034,2167.7734375
502.75196811596635,2145.13720703125
558.6132979066293,2126.651611328125
614.4746276972922,2117.477783203125
670.3359574879552,2103.533203125
726.1972872786181,2083.271484375
782.058617069281,2056.444091796875
837.9199468599439,2027.5244140625
893.7812766506069,1997.88134765625
949.6426064412698,1963.699340820312
1005.5039362319327,1931.239135742188
1061.3652660225957,1901.429565429688
1117.2265958132587,1878.991088867188
1173.0879256039216,1857.059692382812
1228.9492553945845,1837.106323242188
1284.8105851852474,1816.827880859375
1340.6719149759103,1797.0546875
1396.5332447665733,1778.564453125
1452.3945745572362,1763.898681640625
1508.255904347899,1754.473876953125
1564.117234138562,1747.811889648438
1619.978563929225,1742.56689453125
1675.8398937198879,1733.37353515625
1731.7012235105508,1719.133056640625
1787.5625533012137,1703.901733398438
1843.4238830918766,1692.2451171875
1899.2852128825396,1690.853271484375
1955.1465426732025,1698.273193359375
2011.0078724638654,1707.635986328125
2066.8692022545283,1715.910888671875
2122.7305320451915,1721.691528320312
2178.591861835854,1725.301513671875
2234.4531916265173,1730.204956054688
2290.31452141718,1741.472534179688
2346.175851207843,1756.626220703125
2402.037180998506,1771.596069335938
2457.898510789169,1788.39892578125
2513.7598405798317,1799.2958984375
2569.621170370495,1808.54833984375
2625.4825001611575,1811.559326171875
2681.3438299518207,1817.303588867188
2737.2051597424834,1825.79345703125
2793.0664895331465,1836.843627929688
2848.927819323809,1849.072021484375
2904.7891491144724,1854.9013671875
2960.650478905135,1840.060668945312
3016.511808695798,1841.318603515625
3072.373138486461,1848.597412109375
3128.234468277124,1871.5625
3184.0957980677867,1902.985473632812
3239.95712785845,1935.890869140625
3295.8184576491126,1968.741088867188
3351.6797874397757,1997.211669921875
3407.5411172304384,2024.577880859375
3463.4024470211016,2054.261474609375
3519.2637768117643,2083.857177734375
3575.1251066024274,2105.85205078125
3630.9864363930906,2121.505126953125
3686.8477661837533,2137.744140625
3742.7090959744164,2159.27734375
3798.570425765079,2183.662353515625
3854.4317555557423,2212.177734375
3910.293085346405,2230.998046875
3966.154415137068,2236.127685546875
4022.015744927731,2239.70068359375
4077.877074718394,2243.097412109375
4133.738404509057,2246.205322265625
4189.59973429972,2243.933837890625
4245.461064090383,2239.379150390625
4301.322393881045,2231.74267578125
4357.183723671708,2232.959228515625
4413.0450534623715,2244.73291015625
4468.906383253035,2264.196533203125
4524.767713043697,2291.46142578125
4580.62904283436,2317.860595703125
4636.490372625023,2344.849609375
4692.351702415686,2373.720458984375
4748.2130322063485,2403.741943359375
4804.074361997012,2431.573974609375
4859.935691787675,2457.071533203125
4915.797021578338,2480.5009765625
4971.658351369,2500.9404296875
5027.519681159663,2519.284423828125
5083.3810109503265,2536.249267578125
5139.24234074099,2550.709228515625
5195.103670531652,2561.23388671875
5250.965000322315,2570.136962890625
5306.826330112978,2579.154052734375
5362.687659903641,2584.382080078125
5418.5489896943045,2585.037109375
5474.410319484967,2574.546142578125
5530.27164927563,2549.692138671875
5586.132979066293,2524.1455078125
5641.994308856956,2493.131103515625
5697.855638647618,2462.645263671875
5753.716968438282,2437.61669921875
5809.578298228945,2418.818359375
5865.439628019608,2408.01806640625
5921.30095781027,2393.853515625
5977.162287600933,2373.511474609375
6033.023617391596,2345.142822265625
6088.88494718226,2314.283935546875
6144.746276972922,2284.071044921875
6200.607606763585,2259.84619140625
6256.468936554248,2233.963623046875
6312.330266344911,2202.7529296875
6368.1915961355735,2168.7724609375
6424.052925926237,2136.860107421875
6479.9142557169,2107.036865234375
6535.775585507563,2080.859375
6591.636915298225,2060.6650390625
6647.498245088888,2043.359985351562
6703.3595748795515,2026.773315429688
6759.220904670215,2008.807495117188
6815.082234460877,1988.453247070312
6870.94356425154,1968.860229492188
6926.804894042203,1951.444702148438
6982.666223832866,1932.381225585938
7038.527553623529,1915.20849609375
7094.388883414192,1884.570434570312
7150.250213204855,1851.906860351562
7206.111542995518,1820.39892578125
7261.972872786181,1789.49462890625
7317.834202576843,1761.07568359375
7373.6955323675065,1730.837524414062
7429.55686215817,1697.760131835938
7485.418191948833,1664.86376953125
7541.279521739495,1633.2041015625
7597.140851530158,1607.857666015625
7653.002181320821,1592.580810546875
7708.8635111114845,1586.140991210938
7764.724840902147,1583.440795898438
7820.58617069281,1577.62451171875
7876.447500483473,1562.4697265625
7932.308830274136,1542.574096679688
7988.170160064798,1521.481567382812
8044.031489855462,1498.256103515625
8099.892819646125,1480.394775390625
8155.754149436788,1462.734741210938
8211.61547922745,1445.797485351562
8267.476809018113,1428.698974609375
8323.338138808776,1413.924438476562
8379.19946859944,1401.111694335938
8435.060798390103,1383.144409179688
8490.922128180766,1360.683715820312
8546.783457971427,1332.898315429688
8602.64478776209,1302.091064453125
8658.506117552753,1277.32373046875
8714.367447343417,1264.135620117188
8770.22877713408,1251.472290039062
8826.090106924743,1237.355712890625
8881.951436715406,1221.718505859375
8937.81276650607,1202.942260742188
